Relacion; Herrera (freq. relat.); P2 (freq. relat.);Pacheco (freq. relat.);Media;SD;Herrera (z-score);P2 (z-score);Pacheco;P2vsHerrera;P2vsPacheco
VM VM DD;0,11;0,17;0;0,093333333;0,086216781;0,193311168;0,889231374;-1,082542542;0,695920206;1,971773916
PP DI NC;0,16;0,11;0;0,09;0,081853528;0,85518611;0,244338889;-1,099524999;0,610847222;1,343863888
SP VS VM;0,21;0,04;0;0,083333333;0,111504858;1,135974424;-0,388622829;-0,747351594;1,524597253;0,358728765
NC DA VM;0,16;0,07;0,21;0,146666667;0,070945989;0,187936394;-1,080634267;0,892697873;1,268570661;1,97333214
RN VM RN;0,08;0,21;0;0,096666667;0,105987421;-0,157251366;1,069309288;-0,912057922;1,226560654;1,981367211
SP CS DP;0,06;0,21;0,21;0,16;0,08660254;-1,154700538;0,577350269;0,577350269;1,732050808;0
PR VS AQ;0,13;0,14;0;0,09;0,078102497;0,51214752;0,6401844;-1,152331919;0,12803688;1,792516319
CC NP AQ;0,11;0,17;0;0,093333333;0,086216781;0,193311168;0,889231374;-1,082542542;0,695920206;1,971773916
SP PD PR;0,08;0,17;0,21;0,153333333;0,066583281;-1,101377584;0,250313087;0,851064496;1,351690671;0,600751409
DA DI NC;0,13;0,11;0,21;0,15;0,052915026;-0,377964473;-0,755928946;1,133893419;0,377964473;1,889822365
AQ NP RG;0,06;0,24;0;0,1;0,12489996;-0,320256308;1,120897077;-0,800640769;1,441153384;1,921537846
VS NC PR;0,16;0,11;0;0,09;0,081853528;0,85518611;0,244338889;-1,099524999;0,610847222;1,343863888
PP CS VM;0,08;0,21;0;0,096666667;0,105987421;-0,157251366;1,069309288;-0,912057922;1,226560654;1,981367211
NC RN SP;0,03;0,24;0,21;0,16;0,113578167;-1,144586178;0,704360725;0,440225453;1,848946903;0,264135272
CS VS DA;0,16;0,11;0;0,09;0,081853528;0,85518611;0,244338889;-1,099524999;0,610847222;1,343863888
NC SP VS;0,08;0,14;0,41;0,21;0,175783958;-0,739544161;-0,398216087;1,137760248;0,341328074;1,535976335
