Bigrama, Herrera (freq. relat.), P2 (freq. relat.),Pacheco (freq. relat.),Media,SD,Herrera (z-score),P2 (z-score),Pacheco (z-score),P2 vs Herrera,P2 vs Pacheco
AQ Z,0.05,0.04,0,0.03,0.026457513,0.755928946,0.377964473,-1.133893419,0.377964473,1.511857892
PT CS,0.05,0.04,0,0.03,0.026457513,0.755928946,0.377964473,-1.133893419,0.377964473,1.511857892
CS I,0.05,0.04,0,0.03,0.026457513,0.755928946,0.377964473,-1.133893419,0.377964473,1.511857892
PI DA,0.03,0.07,0,0.033333333,0.035118846,-0.0949158,1.044073795,-0.949157996,1.138989595,1.993231791
DI PP,0.07,0,0,0.023333333,0.040414519,1.154700538,-0.577350269,-0.577350269,1.732050808,0
CS Z,0.03,0.04,0.18,0.083333333,0.083864971,-0.635942907,-0.516703612,1.152646519,0.119239295,1.66935013
PE RG,0.03,0.07,0,0.033333333,0.035118846,-0.0949158,1.044073795,-0.949157996,1.138989595,1.993231791
DA CS,0.05,0,0.18,0.076666667,0.092915732,-0.286998401,-0.825120404,1.112118805,0.538122003,1.937239209
DP VS,0.03,0,0.36,0.13,0.199749844,-0.500626174,-0.650814027,1.151440201,0.150187852,1.802254228
NP PT,0.03,0.07,0,0.033333333,0.035118846,-0.0949158,1.044073795,-0.949157996,1.138989595,1.993231791
NP PD,0,0.07,0.18,0.083333333,0.090737717,-0.918397948,-0.146943672,1.06534162,0.771454276,1.212285291
PR I,0.05,0.04,0,0.03,0.026457513,0.755928946,0.377964473,-1.133893419,0.377964473,1.511857892
CC VA,0.05,0,0.18,0.076666667,0.092915732,-0.286998401,-0.825120404,1.112118805,0.538122003,1.937239209
PI NC,0.05,0.04,0,0.03,0.026457513,0.755928946,0.377964473,-1.133893419,0.377964473,1.511857892
DP Z,0.05,0.04,0,0.03,0.026457513,0.755928946,0.377964473,-1.133893419,0.377964473,1.511857892
DD RG,0.07,0,0,0.023333333,0.040414519,1.154700538,-0.577350269,-0.577350269,1.732050808,0
P0 AQ,0.05,0,0.18,0.076666667,0.092915732,-0.286998401,-0.825120404,1.112118805,0.538122003,1.937239209
AO CS,0,0.04,0.36,0.133333333,0.197315314,-0.675737378,-0.473016165,1.148753543,0.202721214,1.621769708
VM DE,0.03,0.07,0,0.033333333,0.035118846,-0.0949158,1.044073795,-0.949157996,1.138989595,1.993231791
P0 DP,0,0.1,0,0.033333333,0.057735027,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
AQ VA,0.05,0.04,0,0.03,0.026457513,0.755928946,0.377964473,-1.133893419,0.377964473,1.511857892
DD CS,0,0.07,0.18,0.083333333,0.090737717,-0.918397948,-0.146943672,1.06534162,0.771454276,1.212285291
VS VS,0.07,0,0,0.023333333,0.040414519,1.154700538,-0.577350269,-0.577350269,1.732050808,0
AP PT,0.05,0,0,0.016666667,0.028867513,1.154700538,-0.577350269,-0.577350269,1.732050808,0
RN DD,0.05,0,0,0.016666667,0.028867513,1.154700538,-0.577350269,-0.577350269,1.732050808,0
RN DI,0,0.07,0,0.023333333,0.040414519,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
AO VM,0,0.07,0,0.023333333,0.040414519,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
RN CC,0,0.07,0,0.023333333,0.040414519,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
PR PR,0.03,0.04,0,0.023333333,0.02081666,0.320256308,0.800640769,-1.120897077,0.480384461,1.921537846
P0 VS,0.03,0.04,0,0.023333333,0.02081666,0.320256308,0.800640769,-1.120897077,0.480384461,1.921537846
