Bigrama, Herrera (freq. relat.), P2 (freq. relat.),Pacheco (freq. relat.),Media,SD,Herrera (z-score),P2 (z-score),Pacheco (z-score),P2 vs Herrera,P2 vs Pacheco
VM AP,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
VA DT,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
PD P0,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
VA SP,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
PD PT,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
DP DP,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
DI Z,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
Z NP,0,0,0.18,0.06,0.103923048,-0.577350269,-0.577350269,1.154700538,0,1.732050808
RG PE,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
DP CS,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
DP DI,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
PR AP,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
AP VA,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
Z RG,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
I DA,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
Z PR,0,0,0.18,0.06,0.103923048,-0.577350269,-0.577350269,1.154700538,0,1.732050808
VA P0,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
DA P0,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
Z SP,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
NP DT,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
NP DE,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
